iter	Logloss
189	0.4931121941
190	0.4930393253
191	0.4929746688
192	0.4928862095
193	0.4928273366
194	0.4927630011
195	0.492731692
196	0.4926589102
197	0.4925940998
198	0.4925418505
199	0.4924893723
200	0.4924410891
201	0.4923700436
202	0.4923389512
203	0.4922639296
204	0.4922043179
205	0.492114922
206	0.4920442705
207	0.4919737028
208	0.4919143497
209	0.4918062806
210	0.4917653895
211	0.4916751187
212	0.4916125503
213	0.4915792837
214	0.4915237377
215	0.4914507038
216	0.4914081202
217	0.4913653063
218	0.4912846585
219	0.4912020523
220	0.4911589043
221	0.4910755326
222	0.4910114025
223	0.4909358278
224	0.4908647096
225	0.490792415
226	0.4907525576
227	0.4906778919
228	0.4906045255
229	0.4905443552
230	0.4904735296
231	0.4904212816
232	0.490332974
233	0.4902418574
234	0.4901817866
235	0.4901175313
236	0.4900432753
237	0.4899682542
238	0.4899356595
239	0.4898785039
240	0.4898014321
241	0.4897302778
242	0.4896600292
243	0.4895748213
244	0.4894992418
245	0.4894346723
246	0.4893544184
247	0.4892926117
248	0.4892133838
249	0.4891594862
250	0.4890843405
251	0.4889987646
252	0.488927476
253	0.4888396436
254	0.4887550939
255	0.4886910787
256	0.48863677
257	0.4885761804
258	0.4885283625
259	0.4884628389
260	0.488402252
261	0.4883219493
262	0.4882811442
263	0.4882142035
264	0.4881328581
265	0.4880419207
266	0.487975078
267	0.487902916
268	0.4878111256
269	0.4877286952
270	0.487654387
271	0.4875860207
272	0.4875195417
273	0.4874534675
274	0.4873964176
275	0.4873181812
276	0.4872649162
277	0.4872222676
278	0.4871392257
279	0.4870920921
280	0.4870258786
281	0.4869661139
282	0.4868930988
283	0.4868295522
284	0.4867654203
285	0.4867122253
286	0.4866545591
287	0.4865808805
288	0.486533212
289	0.4864884288
290	0.4864239389
291	0.4863666663
292	0.486344576
293	0.4863087613
294	0.4862366409
295	0.4861640609
296	0.4861301052
297	0.4860568944
298	0.4859786596
299	0.4859175513
300	0.4858351667
301	0.4857598522
302	0.4856894655
303	0.4856129356
304	0.4855627955
305	0.4855114295
306	0.485451245
307	0.4853799764
308	0.4853100152
309	0.4852462132
310	0.4852176785
311	0.4851614109
312	0.4851070422
313	0.4850366748
314	0.4849618744
315	0.4848990981
316	0.4848526308
317	0.4847838394
318	0.4847115828
319	0.4846481456
320	0.4845676618
321	0.4844893953
322	0.484415892
323	0.484347561
324	0.4843013599
325	0.4842381673
326	0.4841929062
327	0.4841232406
328	0.4840538223
329	0.4839888159
330	0.4839307106
331	0.4839060955
332	0.4838450215
333	0.4838018942
334	0.4837716072
335	0.4837235542
336	0.4836752911
337	0.483596947
338	0.4835564697
339	0.4834807172
340	0.4834449773
341	0.4833813567
342	0.4833307435
343	0.4832547123
344	0.4831969023
345	0.4831371493
346	0.4830792586
347	0.4830259941
348	0.4830156658
349	0.4829405047
350	0.4828979767
351	0.4828461425
352	0.4828101574
353	0.4827727119
354	0.4827028205
355	0.482648362
356	0.4826099502
357	0.4825427926
358	0.4824760621
359	0.4824319788
360	0.4823935565
361	0.4823258104
362	0.4822899341
363	0.482249118
364	0.4821904185
365	0.4821166781
366	0.4820629924
367	0.48199992
368	0.4819359325
369	0.4818848487
370	0.4818286673
371	0.4817833242
372	0.4817149748
373	0.481669857
374	0.4816029949
375	0.481548313
376	0.4814742182
377	0.4814054756
378	0.4813452715
379	0.481311929
380	0.4812449894
381	0.4811954911
382	0.481135597
383	0.4810936795
384	0.4810238355
385	0.4809555025
386	0.4809036469
387	0.4808639196
388	0.4808006007
389	0.4807544972
390	0.4807251383
391	0.4806414185
392	0.4805815696
393	0.4805557816
394	0.4805143769
395	0.4804567332
396	0.4803844368
397	0.480316034
398	0.4802750518
399	0.4802054098
400	0.4801505555
401	0.4801018867
402	0.4800373268
403	0.479993042
404	0.4799540685
405	0.4798931869
406	0.479837427
407	0.479791259
408	0.4797224716
409	0.4796627964
410	0.4796019698
411	0.4795347049
412	0.4794869689
413	0.4794440723
414	0.4793973874
415	0.4793518915
416	0.4792935093
417	0.4792340608
418	0.4791912034
419	0.4791407217
420	0.4791135161
421	0.479045662
422	0.4789797477
423	0.4789186155
424	0.4788606314
425	0.4788130065
426	0.47874958
427	0.4787178665
428	0.4786518187
429	0.4785874881
430	0.4785200457
431	0.4784920707
432	0.4784496119
433	0.4784066348
434	0.4783411585
435	0.4782904404
436	0.4782641222
437	0.4782170424
438	0.4781623987
439	0.4780872587
440	0.4780422522
441	0.4779883686
442	0.4779609355
443	0.4779036149
444	0.4778701054
445	0.4778448222
446	0.4777955704
447	0.4777391778
448	0.4776787419
449	0.4776387737
450	0.4775777812
451	0.4775128733
452	0.4774717461
453	0.4774348125
454	0.4773943136
455	0.4773303129
456	0.4772972346
457	0.4772389957
458	0.4771849655
459	0.4771235472
460	0.4770708691
461	0.4770363167
462	0.4770177729
463	0.4769794287
464	0.4769391307
465	0.4768835166
466	0.4768259687
467	0.4767616636
468	0.4767066433
469	0.4766540382
470	0.4765900617
471	0.4765471498
472	0.4765130404
473	0.4764488074
474	0.4764117182
475	0.4763500799
476	0.4763006358
477	0.4762599184
478	0.4762317677
479	0.476164145
480	0.4761124758
481	0.476067848
482	0.4760033619
483	0.475943419
484	0.4758830494
485	0.475835361
486	0.4757798743
487	0.475728101
488	0.4756622861
489	0.4756189339
490	0.4755714489
491	0.4755022652
492	0.4754337641
493	0.4753836156
494	0.4753325036
495	0.4752640326
496	0.4752313153
497	0.4751869995
498	0.4751341523
499	0.4750932718
